root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
8-K,Current report,2024-01-02,2023-12-29,AKUMIN INC.,AKUMQ,0001776197,1776197,"Plantation, Florida","Ontario, Canada",001-39479,24502002,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39479&action=getcompany,https://www.sec.gov/Archives/edgar/data/1776197/000119312524000620/0001193125-24-000620-index.html,https://www.sec.gov/Archives/edgar/data/1776197/000119312524000620/d653414d8k.htm
6-K,Current report,2024-01-19,2024-01-19,"Freight Technologies, Inc.",FRGT,0001687542,1687542,"The Woodlands, Texas",[],001-38172,24546386,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-38172&action=getcompany,https://www.sec.gov/Archives/edgar/data/1687542/000149315224003093/0001493152-24-003093-index.html,https://www.sec.gov/Archives/edgar/data/1687542/000149315224003093/form6-k.htm
8-K,Current report,2024-01-05,2024-01-02,PACIFIC HEALTH CARE ORGANIZATION INC,PFHO,0001138476,1138476,"Newport Beach, California",Utah,000-50009,24517571,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=000-50009&action=getcompany,https://www.sec.gov/Archives/edgar/data/1138476/000118518524000044/0001185185-24-000044-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518524000044/pacifichco20240105_8k.htm
8-K,Current report,2024-03-19,2024-03-14,"UpHealth, Inc.","UPHL, UPHLW",0001770141,1770141,"Delray Beach, Florida",Delaware,001-38924,24762967,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-38924&action=getcompany,https://www.sec.gov/Archives/edgar/data/1770141/000177014124000023/0001770141-24-000023-index.html,https://www.sec.gov/Archives/edgar/data/1770141/000177014124000023/uph-20240314.htm
6-K,Current report,2024-04-05,2024-04-04,Check-Cap Ltd,CHEK,0001610590,161059,"Isfiya, Israel",Israel,001-36848,24824531,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36848&action=getcompany,https://www.sec.gov/Archives/edgar/data/161059/000121390024030592/0001213900-24-030592-index.html,https://www.sec.gov/Archives/edgar/data/161059/000121390024030592/ea020333501ex99-1_check.htm
6-K,Current report,2024-05-03,2024-05-01,Paranovus Entertainment Technology Ltd.,PAVS,0001751876,1751876,"Nanping, China",Cayman Islands,001-39098,24913267,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39098&action=getcompany,https://www.sec.gov/Archives/edgar/data/1751876/000192998024000151/0001929980-24-000151-index.html,https://www.sec.gov/Archives/edgar/data/1751876/000192998024000151/pavs_6k.htm
8-K,Current report,2024-04-26,2024-04-24,AVANT TECHNOLOGIES INC.,AVAI,0001740797,1740797,"Las Vegas, Nevada",[],333-225433,24884964,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-225433&action=getcompany,https://www.sec.gov/Archives/edgar/data/1740797/000174079724000015/0001740797-24-000015-index.html,https://www.sec.gov/Archives/edgar/data/1740797/000174079724000015/avai8k_.htm
6-K,Current report,2024-03-12,2024-03-06,SIMPPLE LTD.,SPPL,0001948697,1948697,"Singapore, Singapore",[],001-41798,24742064,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-41798&action=getcompany,https://www.sec.gov/Archives/edgar/data/1948697/000192998024000049/0001929980-24-000049-index.html,https://www.sec.gov/Archives/edgar/data/1948697/000192998024000049/sppl_6k.htm
6-K,Current report,2024-03-28,2024-03-27,Check-Cap Ltd,CHEK,0001610590,161059,"Isfiya, Israel",Israel,001-36848,24793182,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36848&action=getcompany,https://www.sec.gov/Archives/edgar/data/161059/000121390024026831/0001213900-24-026831-index.html,https://www.sec.gov/Archives/edgar/data/161059/000121390024026831/ea020277601ex99-1_checkcap.htm
10-K,Annual report,2024-02-22,2023-12-31,BRIGHTCOVE INC,BCOV,0001313275,1313275,"Boston, Massachusetts",Delaware,001-35429,24664865,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-35429&action=getcompany,https://www.sec.gov/Archives/edgar/data/1313275/000095017024018770/0000950170-24-018770-index.html,https://www.sec.gov/Archives/edgar/data/1313275/000095017024018770/bcov-ex10_38.htm
6-K,Current report,2024-06-18,2024-06-18,"LakeShore Biopharma Co., Ltd.","LSB, LSBPW",0001946399,1946399,"Daxing District, Beijing, China",Cayman Islands,001-41598,241050186,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-41598&action=getcompany,https://www.sec.gov/Archives/edgar/data/1946399/000121390024053522/0001213900-24-053522-index.html,https://www.sec.gov/Archives/edgar/data/1946399/000121390024053522/ea0208032-6k_lakeshore.htm
6-K,Current report,2024-05-16,2024-05-16,"Pop Culture Group Co., Ltd",CPOP,0001807389,1807389,"Xiamen, China",Cayman Islands,001-40543,24955497,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-40543&action=getcompany,https://www.sec.gov/Archives/edgar/data/1807389/000121390024044300/0001213900-24-044300-index.html,https://www.sec.gov/Archives/edgar/data/1807389/000121390024044300/ea0206333-6k_popculture.htm
6-K,Current report,2024-06-04,2024-06-03,Qilian International Holding Group Ltd,QLI,0001779578,1779578,"Chengdu, China",Cayman Islands,001-39805,241016236,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39805&action=getcompany,https://www.sec.gov/Archives/edgar/data/1779578/000110465924068076/0001104659-24-068076-index.html,https://www.sec.gov/Archives/edgar/data/1779578/000110465924068076/tm2416321d1_6k.htm
6-K,Current report,2024-03-13,2024-03-13,Bit Brother Ltd,"BETS, BETSF",0001543268,1543268,"Hunan Province, China","Virgin Islands, British",001-35755,24745943,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-35755&action=getcompany,https://www.sec.gov/Archives/edgar/data/1543268/000121390024022162/0001213900-24-022162-index.html,https://www.sec.gov/Archives/edgar/data/1543268/000121390024022162/ea0201751-6k_bitbrother.htm
8-K,Current report,2024-04-03,2024-04-03,"Soluna Holdings, Inc","SLNH, SLNHP",0000064463,64463,"Albany, New York",Nevada,001-40261,24819253,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-40261&action=getcompany,https://www.sec.gov/Archives/edgar/data/64463/000149315224013008/0001493152-24-013008-index.html,https://www.sec.gov/Archives/edgar/data/64463/000149315224013008/form8-k.htm
424B3,Prospectus,2024-03-19,,"UpHealth, Inc.","UPHL, UPHLW",0001770141,1770141,"Delray Beach, Florida",Delaware,333-271193,24763769,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-271193&action=getcompany,https://www.sec.gov/Archives/edgar/data/1770141/000177014124000025/0001770141-24-000025-index.html,https://www.sec.gov/Archives/edgar/data/1770141/000177014124000025/a424b32024-03x19.htm
6-K,Current report,2024-07-01,2024-07-01,Noah Holdings Ltd,NOAH,0001499543,1499543,"Shanghai, China",[],001-34936,241088384,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-34936&action=getcompany,https://www.sec.gov/Archives/edgar/data/1499543/000110465924076600/0001104659-24-076600-index.html,https://www.sec.gov/Archives/edgar/data/1499543/000110465924076600/tm2418621d1_ex99-2.htm
8-K,Current report,2024-02-22,2024-02-21,BRIGHTCOVE INC,BCOV,0001313275,1313275,"Boston, Massachusetts",Delaware,001-35429,24664818,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-35429&action=getcompany,https://www.sec.gov/Archives/edgar/data/1313275/000119312524042834/0001193125-24-042834-index.html,https://www.sec.gov/Archives/edgar/data/1313275/000119312524042834/d777825d8k.htm
8-K,Current report,2024-06-04,2024-06-04,"GoHealth, Inc.",GOCO,0001808220,180822,"Chicago, Illinois",Delaware,001-39390,241019237,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39390&action=getcompany,https://www.sec.gov/Archives/edgar/data/180822/000180822024000057/0001808220-24-000057-index.html,https://www.sec.gov/Archives/edgar/data/180822/000180822024000057/a060424jasonandkatieanno.htm
8-K,Current report,2024-01-02,2023-12-29,AKUMIN INC.,AKUMQ,0001776197,1776197,"Plantation, Florida","Ontario, Canada",001-39479,24502002,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39479&action=getcompany,https://www.sec.gov/Archives/edgar/data/1776197/000119312524000620/0001193125-24-000620-index.html,https://www.sec.gov/Archives/edgar/data/1776197/000119312524000620/d653414dex101.htm
10-Q,Quarterly report,2024-05-02,2024-03-31,EVERSPIN TECHNOLOGIES INC,MRAM,0001438423,1438423,"Chandler, Arizona",[],001-37900,24907981,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-37900&action=getcompany,https://www.sec.gov/Archives/edgar/data/1438423/000155837024006532/0001558370-24-006532-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837024006532/mram-20240331xex10d2.htm
8-K,Current report,2024-04-02,2024-01-16,"Inhibikase Therapeutics, Inc.",IKT,0001750149,1750149,"Atlanta, Georgia",[],001-39676,24815503,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39676&action=getcompany,https://www.sec.gov/Archives/edgar/data/1750149/000119312524084902/0001193125-24-084902-index.html,https://www.sec.gov/Archives/edgar/data/1750149/000119312524084902/d821381d8ka.htm
6-K,Current report,2024-04-15,2024-04-15,Check-Cap Ltd,CHEK,0001610590,161059,"Isfiya, Israel",Israel,001-36848,24843246,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36848&action=getcompany,https://www.sec.gov/Archives/edgar/data/161059/000121390024032765/0001213900-24-032765-index.html,https://www.sec.gov/Archives/edgar/data/161059/000121390024032765/ea020386501ex99-1_checkcap.htm
6-K,Current report,2024-04-05,2024-04-05,Garden Stage Ltd,GSIW,0001954269,1954269,"Hong Kong, Hong Kong",Cayman Islands,001-41879,24824775,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-41879&action=getcompany,https://www.sec.gov/Archives/edgar/data/1954269/000121390024030619/0001213900-24-030619-index.html,https://www.sec.gov/Archives/edgar/data/1954269/000121390024030619/ea0203389-6k_garden.htm
